layer,flavor,batch_key,n_top_genes,n_hvgs_actual,overall_n_in_data,overall_n_in_hvg,overall_fraction,n_mito,pct_mito,n_ribo,pct_ribo,n_hb,pct_hb,n_myofibre,pct_myofibre,n_histones,pct_histones,n_cell_cycle,pct_cell_cycle,n_ambient_epithelium_keratins,pct_ambient_epithelium_keratins,n_ambient_immunoglobulin,pct_ambient_immunoglobulin,n_ambient_plasma_proteins,pct_ambient_plasma_proteins,n_erythrocytes,pct_erythrocytes,n_platelets,pct_platelets,n_nuisance,pct_nuisance,frac_Myonuclei_Specialised,frac_FAPs_Fibroblasts,frac_Endothelial_Cells,frac_Mural_Cells,frac_Macrophages_Monocytes,frac_T_Cells,frac_NK_Cells,frac_Mast_Cells,frac_B_Cells,frac_Neural,frac_Tendon_Ligament_Cells,frac_Chondrocytes,frac_Adipocytes,condition
soupX_counts,seurat_v3,donor,1000,1000,133,36,0.2706766917293233,1,0.1,3,0.3,3,0.3,4,0.4,0,0.0,2,0.2,0,0.0,0,0.0,1,0.1,2,0.2,0,0.0,14,1.4000000000000001,0.21428571428571427,0.05,0.38461538461538464,0.25,0.3333333333333333,0.25,0.0,0.5714285714285714,0.0,0.2222222222222222,0.23076923076923078,0.2,0.7,soupX_counts + seurat_v3 | batch=donor
soupX_counts,seurat_v3,donor,1500,1500,133,44,0.3308270676691729,2,0.13333333333333333,6,0.4,3,0.2,4,0.26666666666666666,0,0.0,2,0.13333333333333333,0,0.0,0,0.0,1,0.06666666666666667,2,0.13333333333333333,0,0.0,18,1.2,0.5,0.1,0.38461538461538464,0.16666666666666666,0.3333333333333333,0.25,0.2,0.42857142857142855,0.0,0.2222222222222222,0.38461538461538464,0.6,0.7,soupX_counts + seurat_v3 | batch=donor
soupX_counts,seurat_v3,donor,2000,2000,133,57,0.42857142857142855,1,0.05,12,0.6,2,0.1,6,0.3,0,0.0,2,0.1,0,0.0,0,0.0,1,0.05,1,0.05,0,0.0,24,1.2,0.5714285714285714,0.2,0.6153846153846154,0.25,0.4666666666666667,0.25,0.4,0.7142857142857143,0.0,0.2222222222222222,0.38461538461538464,0.6,0.8,soupX_counts + seurat_v3 | batch=donor
soupX_counts,seurat_v3,donor,2500,2500,133,66,0.49624060150375937,0,0.0,17,0.6799999999999999,2,0.08,7,0.27999999999999997,0,0.0,3,0.12,0,0.0,0,0.0,1,0.04,1,0.04,0,0.0,30,1.2,0.5714285714285714,0.4,0.5384615384615384,0.3333333333333333,0.4666666666666667,0.25,0.4,0.7142857142857143,0.5,0.3333333333333333,0.5384615384615384,0.6,0.9,soupX_counts + seurat_v3 | batch=donor
soupX_counts,seurat_v3,donor,3000,3000,133,72,0.5413533834586466,3,0.1,22,0.7333333333333333,2,0.06666666666666667,7,0.23333333333333336,0,0.0,3,0.1,0,0.0,0,0.0,1,0.03333333333333333,1,0.03333333333333333,0,0.0,38,1.2666666666666666,0.5,0.55,0.6153846153846154,0.3333333333333333,0.4666666666666667,0.25,0.6,0.7142857142857143,0.5,0.3333333333333333,0.6153846153846154,0.8,0.9,soupX_counts + seurat_v3 | batch=donor
soupX_counts,seurat_v3,donor,4000,4000,133,83,0.6240601503759399,6,0.15,32,0.8,4,0.1,8,0.2,0,0.0,4,0.1,0,0.0,0,0.0,1,0.025,2,0.05,0,0.0,55,1.375,0.5714285714285714,0.5,0.6923076923076923,0.4166666666666667,0.6666666666666666,0.25,0.6,0.8571428571428571,0.5,0.5555555555555556,0.7692307692307693,0.8,1.0,soupX_counts + seurat_v3 | batch=donor
soupX_counts,seurat_v3,donor,5000,5000,133,95,0.7142857142857143,9,0.18,42,0.84,4,0.08,8,0.16,0,0.0,3,0.06,0,0.0,0,0.0,1,0.02,2,0.04,0,0.0,67,1.34,0.5714285714285714,0.55,0.8461538461538461,0.6666666666666666,0.7333333333333333,0.375,0.6,0.8571428571428571,1.0,0.6666666666666666,0.9230769230769231,0.8,1.0,soupX_counts + seurat_v3 | batch=donor
soupX_counts,seurat_v3,none,1000,1000,133,50,0.37593984962406013,0,0.0,0,0.0,3,0.3,5,0.5,0,0.0,3,0.3,0,0.0,0,0.0,1,0.1,2,0.2,0,0.0,12,1.2,0.21428571428571427,0.2,0.5384615384615384,0.3333333333333333,0.5333333333333333,0.25,0.0,0.5714285714285714,0.0,0.3333333333333333,0.38461538461538464,0.2,0.9,soupX_counts + seurat_v3 | batch=none
soupX_counts,seurat_v3,none,1500,1500,133,64,0.48120300751879697,0,0.0,1,0.06666666666666667,3,0.2,5,0.33333333333333337,0,0.0,3,0.2,0,0.0,0,0.0,1,0.06666666666666667,2,0.13333333333333333,0,0.0,13,0.8666666666666666,0.35714285714285715,0.35,0.6153846153846154,0.3333333333333333,0.8,0.25,0.2,0.8571428571428571,0.0,0.3333333333333333,0.38461538461538464,0.4,0.9,soupX_counts + seurat_v3 | batch=none
soupX_counts,seurat_v3,none,2000,2000,133,73,0.5488721804511278,0,0.0,2,0.1,4,0.2,8,0.4,0,0.0,3,0.15,0,0.0,0,0.0,1,0.05,3,0.15,0,0.0,18,0.8999999999999999,0.42857142857142855,0.35,0.7692307692307693,0.3333333333333333,0.8,0.25,0.6,0.8571428571428571,0.5,0.3333333333333333,0.5384615384615384,0.4,1.0,soupX_counts + seurat_v3 | batch=none
soupX_counts,seurat_v3,none,2500,2500,133,83,0.6240601503759399,0,0.0,2,0.08,4,0.16,8,0.32,0,0.0,3,0.12,0,0.0,0,0.0,1,0.04,3,0.12,0,0.0,18,0.72,0.5714285714285714,0.45,0.7692307692307693,0.5,0.8,0.25,0.6,0.8571428571428571,0.5,0.4444444444444444,0.6153846153846154,0.8,1.0,soupX_counts + seurat_v3 | batch=none
soupX_counts,seurat_v3,none,3000,3000,133,88,0.6616541353383458,1,0.03333333333333333,2,0.06666666666666667,4,0.13333333333333333,9,0.3,0,0.0,3,0.1,0,0.0,0,0.0,1,0.03333333333333333,3,0.1,0,0.0,20,0.6666666666666667,0.5714285714285714,0.45,0.8461538461538461,0.5833333333333334,0.8,0.375,0.8,0.8571428571428571,0.5,0.5555555555555556,0.6153846153846154,0.8,1.0,soupX_counts + seurat_v3 | batch=none
soupX_counts,seurat_v3,none,4000,4000,133,95,0.7142857142857143,3,0.075,4,0.1,4,0.1,9,0.22499999999999998,0,0.0,3,0.075,0,0.0,0,0.0,1,0.025,3,0.075,0,0.0,24,0.6,0.5714285714285714,0.6,0.8461538461538461,0.6666666666666666,0.8,0.5,0.8,0.8571428571428571,0.5,0.6666666666666666,0.6153846153846154,1.0,1.0,soupX_counts + seurat_v3 | batch=none
soupX_counts,seurat_v3,none,5000,5000,133,101,0.7593984962406015,3,0.06,12,0.24,4,0.08,9,0.18,0,0.0,3,0.06,0,0.0,0,0.0,1,0.02,3,0.06,0,0.0,32,0.64,0.5714285714285714,0.7,0.9230769230769231,0.6666666666666666,0.8666666666666667,0.5,0.8,0.8571428571428571,0.5,0.6666666666666666,0.7692307692307693,1.0,1.0,soupX_counts + seurat_v3 | batch=none
soupX_counts,pearson_residuals,donor,1000,1000,133,47,0.3533834586466165,5,0.5,0,0.0,0,0.0,2,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,8,0.8,0.21428571428571427,0.35,0.38461538461538464,0.08333333333333333,0.3333333333333333,0.25,0.2,0.8571428571428571,0.0,0.2222222222222222,0.6153846153846154,0.4,0.5,soupX_counts + pearson_residuals | batch=donor
soupX_counts,pearson_residuals,donor,1500,1500,133,63,0.47368421052631576,8,0.5333333333333333,3,0.2,1,0.06666666666666667,4,0.26666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06666666666666667,0,0.0,0,0.0,17,1.1333333333333333,0.35714285714285715,0.6,0.38461538461538464,0.3333333333333333,0.4,0.25,0.2,0.8571428571428571,0.5,0.3333333333333333,0.6923076923076923,0.6,0.6,soupX_counts + pearson_residuals | batch=donor
soupX_counts,pearson_residuals,donor,2000,2000,133,75,0.5639097744360902,10,0.5,14,0.7000000000000001,1,0.05,4,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,30,1.5,0.5,0.65,0.38461538461538464,0.5,0.6,0.25,0.4,0.8571428571428571,0.5,0.4444444444444444,0.7692307692307693,0.6,0.7,soupX_counts + pearson_residuals | batch=donor
soupX_counts,pearson_residuals,donor,2500,2500,133,79,0.5939849624060151,13,0.52,25,1.0,2,0.08,4,0.16,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,1,0.04,0,0.0,45,1.7999999999999998,0.5714285714285714,0.65,0.38461538461538464,0.6666666666666666,0.6,0.25,0.4,0.8571428571428571,0.5,0.4444444444444444,0.7692307692307693,0.8,0.7,soupX_counts + pearson_residuals | batch=donor
soupX_counts,pearson_residuals,donor,3000,3000,133,83,0.6240601503759399,13,0.4333333333333333,40,1.3333333333333335,2,0.06666666666666667,4,0.13333333333333333,0,0.0,0,0.0,1,0.03333333333333333,0,0.0,1,0.03333333333333333,1,0.03333333333333333,0,0.0,61,2.033333333333333,0.6428571428571429,0.7,0.38461538461538464,0.6666666666666666,0.6,0.25,0.4,0.8571428571428571,0.5,0.4444444444444444,0.8461538461538461,0.8,0.8,soupX_counts + pearson_residuals | batch=donor
soupX_counts,pearson_residuals,donor,4000,4000,133,93,0.6992481203007519,14,0.35000000000000003,61,1.525,3,0.075,4,0.1,0,0.0,0,0.0,1,0.025,0,0.0,1,0.025,2,0.05,0,0.0,84,2.1,0.6428571428571429,0.8,0.6923076923076923,0.6666666666666666,0.8,0.375,0.4,0.8571428571428571,0.5,0.4444444444444444,0.8461538461538461,0.8,0.8,soupX_counts + pearson_residuals | batch=donor
soupX_counts,pearson_residuals,donor,5000,5000,133,93,0.6992481203007519,14,0.27999999999999997,68,1.3599999999999999,3,0.06,4,0.08,0,0.0,0,0.0,1,0.02,0,0.0,1,0.02,2,0.04,0,0.0,91,1.82,0.6428571428571429,0.85,0.6923076923076923,0.6666666666666666,0.8,0.375,0.4,0.8571428571428571,0.5,0.4444444444444444,0.8461538461538461,0.8,0.7,soupX_counts + pearson_residuals | batch=donor
soupX_counts,pearson_residuals,none,1000,1000,133,52,0.39097744360902253,2,0.2,0,0.0,2,0.2,6,0.6,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,2,0.2,0,0.0,11,1.0999999999999999,0.2857142857142857,0.4,0.38461538461538464,0.16666666666666666,0.26666666666666666,0.25,0.0,0.7142857142857143,0.0,0.3333333333333333,0.6923076923076923,0.4,0.8,soupX_counts + pearson_residuals | batch=none
soupX_counts,pearson_residuals,none,1500,1500,133,58,0.43609022556390975,4,0.26666666666666666,0,0.0,4,0.26666666666666666,6,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06666666666666667,4,0.26666666666666666,0,0.0,16,1.0666666666666667,0.35714285714285715,0.4,0.38461538461538464,0.25,0.26666666666666666,0.25,0.4,0.8571428571428571,0.0,0.3333333333333333,0.6923076923076923,0.4,0.9,soupX_counts + pearson_residuals | batch=none
soupX_counts,pearson_residuals,none,2000,2000,133,66,0.49624060150375937,6,0.3,0,0.0,4,0.2,7,0.35000000000000003,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,4,0.2,0,0.0,19,0.95,0.5,0.5,0.38461538461538464,0.25,0.4,0.25,0.4,0.8571428571428571,0.5,0.3333333333333333,0.6923076923076923,0.6,0.9,soupX_counts + pearson_residuals | batch=none
soupX_counts,pearson_residuals,none,2500,2500,133,77,0.5789473684210527,10,0.4,2,0.08,4,0.16,10,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,4,0.16,0,0.0,28,1.1199999999999999,0.5714285714285714,0.6,0.38461538461538464,0.3333333333333333,0.4666666666666667,0.375,0.4,0.8571428571428571,1.0,0.3333333333333333,0.7692307692307693,1.0,1.0,soupX_counts + pearson_residuals | batch=none
soupX_counts,pearson_residuals,none,3000,3000,133,89,0.6691729323308271,14,0.46666666666666673,3,0.1,4,0.13333333333333333,11,0.36666666666666664,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03333333333333333,4,0.13333333333333333,0,0.0,34,1.1333333333333333,0.6428571428571429,0.7,0.46153846153846156,0.75,0.4666666666666667,0.375,0.6,0.8571428571428571,1.0,0.3333333333333333,0.9230769230769231,1.0,1.0,soupX_counts + pearson_residuals | batch=none
soupX_counts,pearson_residuals,none,4000,4000,133,94,0.706766917293233,20,0.5,15,0.375,4,0.1,13,0.325,0,0.0,3,0.075,0,0.0,0,0.0,1,0.025,4,0.1,0,0.0,57,1.425,0.7142857142857143,0.75,0.46153846153846156,0.75,0.5333333333333333,0.375,0.6,0.8571428571428571,1.0,0.5555555555555556,0.9230769230769231,1.0,1.0,soupX_counts + pearson_residuals | batch=none
soupX_counts,pearson_residuals,none,5000,5000,133,103,0.7744360902255639,22,0.44,44,0.88,4,0.08,13,0.26,0,0.0,3,0.06,0,0.0,0,0.0,1,0.02,4,0.08,0,0.0,88,1.76,0.7857142857142857,0.75,0.6153846153846154,0.75,0.7333333333333333,0.5,0.6,0.8571428571428571,1.0,0.7777777777777778,0.9230769230769231,1.0,1.0,soupX_counts + pearson_residuals | batch=none
log1p_norm,seurat,donor,1000,1000,133,45,0.3383458646616541,0,0.0,0,0.0,1,0.1,4,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1,0,0.0,6,0.6,0.35714285714285715,0.1,0.38461538461538464,0.3333333333333333,0.4,0.125,0.2,0.8571428571428571,0.5,0.2222222222222222,0.46153846153846156,0.6,0.3,log1p_norm + seurat | batch=donor
log1p_norm,seurat,donor,1500,1500,133,61,0.45864661654135336,0,0.0,8,0.5333333333333333,2,0.13333333333333333,4,0.26666666666666666,0,0.0,0,0.0,1,0.06666666666666667,0,0.0,1,0.06666666666666667,1,0.06666666666666667,0,0.0,16,1.0666666666666667,0.42857142857142855,0.25,0.46153846153846156,0.5,0.4666666666666667,0.25,0.4,0.8571428571428571,0.5,0.4444444444444444,0.5384615384615384,0.6,0.6,log1p_norm + seurat | batch=donor
log1p_norm,seurat,donor,2000,2000,133,73,0.5488721804511278,1,0.05,28,1.4000000000000001,3,0.15,4,0.2,0,0.0,0,0.0,1,0.05,0,0.0,1,0.05,2,0.1,0,0.0,38,1.9,0.5,0.5,0.46153846153846156,0.5833333333333334,0.6,0.25,0.4,0.8571428571428571,0.5,0.4444444444444444,0.6153846153846154,0.8,0.7,log1p_norm + seurat | batch=donor
log1p_norm,seurat,donor,2500,2500,133,79,0.5939849624060151,1,0.04,47,1.8800000000000001,3,0.12,4,0.16,0,0.0,0,0.0,1,0.04,0,0.0,1,0.04,2,0.08,0,0.0,57,2.2800000000000002,0.5,0.6,0.6923076923076923,0.6666666666666666,0.6,0.25,0.4,0.8571428571428571,0.5,0.4444444444444444,0.6153846153846154,0.8,0.7,log1p_norm + seurat | batch=donor
log1p_norm,seurat,donor,3000,3000,133,82,0.6165413533834586,1,0.03333333333333333,61,2.033333333333333,3,0.1,4,0.13333333333333333,0,0.0,0,0.0,1,0.03333333333333333,0,0.0,1,0.03333333333333333,2,0.06666666666666667,0,0.0,71,2.3666666666666667,0.5,0.65,0.6923076923076923,0.6666666666666666,0.7333333333333333,0.25,0.4,0.8571428571428571,0.5,0.4444444444444444,0.6153846153846154,0.8,0.7,log1p_norm + seurat | batch=donor
log1p_norm,seurat,donor,4000,4000,133,88,0.6616541353383458,2,0.05,70,1.7500000000000002,3,0.075,5,0.125,0,0.0,0,0.0,1,0.025,0,0.0,1,0.025,2,0.05,0,0.0,82,2.0500000000000003,0.5714285714285714,0.75,0.7692307692307693,0.6666666666666666,0.7333333333333333,0.375,0.4,0.8571428571428571,0.5,0.4444444444444444,0.6153846153846154,0.8,0.8,log1p_norm + seurat | batch=donor
log1p_norm,seurat,donor,5000,5000,133,86,0.6466165413533834,3,0.06,72,1.44,2,0.04,5,0.1,0,0.0,1,0.02,1,0.02,0,0.0,1,0.02,1,0.02,0,0.0,85,1.7000000000000002,0.5714285714285714,0.8,0.6923076923076923,0.6666666666666666,0.7333333333333333,0.25,0.4,0.7142857142857143,0.5,0.4444444444444444,0.7692307692307693,0.8,0.6,log1p_norm + seurat | batch=donor
log1p_norm,seurat,none,1000,1000,133,41,0.3082706766917293,0,0.0,0,0.0,3,0.3,9,0.8999999999999999,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,2,0.2,0,0.0,13,1.3,0.2857142857142857,0.05,0.3076923076923077,0.16666666666666666,0.3333333333333333,0.25,0.2,0.8571428571428571,0.5,0.3333333333333333,0.23076923076923078,0.2,0.8,log1p_norm + seurat | batch=none
log1p_norm,seurat,none,1500,1500,133,48,0.3609022556390977,0,0.0,0,0.0,4,0.26666666666666666,10,0.6666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06666666666666667,4,0.26666666666666666,0,0.0,16,1.0666666666666667,0.2857142857142857,0.05,0.3076923076923077,0.25,0.3333333333333333,0.25,0.4,0.8571428571428571,0.5,0.3333333333333333,0.38461538461538464,0.6,0.9,log1p_norm + seurat | batch=none
log1p_norm,seurat,none,2000,2000,133,58,0.43609022556390975,2,0.1,0,0.0,4,0.2,11,0.5499999999999999,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,4,0.2,0,0.0,19,0.95,0.42857142857142855,0.1,0.38461538461538464,0.3333333333333333,0.4666666666666667,0.25,0.4,0.8571428571428571,1.0,0.3333333333333333,0.46153846153846156,0.8,0.9,log1p_norm + seurat | batch=none
log1p_norm,seurat,none,2500,2500,133,70,0.5263157894736842,4,0.16,3,0.12,4,0.16,12,0.48,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,4,0.16,0,0.0,25,1.0,0.5,0.25,0.38461538461538464,0.5833333333333334,0.5333333333333333,0.375,0.4,0.8571428571428571,1.0,0.3333333333333333,0.5384615384615384,1.0,1.0,log1p_norm + seurat | batch=none
log1p_norm,seurat,none,3000,3000,133,82,0.6165413533834586,4,0.13333333333333333,21,0.7000000000000001,4,0.13333333333333333,12,0.4,0,0.0,2,0.06666666666666667,0,0.0,0,0.0,1,0.03333333333333333,4,0.13333333333333333,0,0.0,45,1.5,0.6428571428571429,0.4,0.46153846153846156,0.5833333333333334,0.6666666666666666,0.375,0.6,0.8571428571428571,1.0,0.6666666666666666,0.5384615384615384,1.0,1.0,log1p_norm + seurat | batch=none
